CODIGO,NOMBRE,UNIV TIPO,ESTADO LICENCIAMIENTO,PERIODO LICENC,DEPARTAMENTO,PROVINCIA,DISTRITO,LATITUD,LONGITUD
001,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,PUBLICO,LICENCIADA,10,LIMA,LIMA,LIMA,-12.046374,-77.042793399999994
002,UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA,PUBLICO,LICENCIADA,6,AYACUCHO,HUAMANGA,AYACUCHO,-13.1638737,-74.223564100000004
003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,PUBLICO,LICENCIADA,8,CUSCO,CUSCO,CUSCO,-13.53195,-71.967462600000005
004,UNIVERSIDAD NACIONAL DE TRUJILLO,PUBLICO,LICENCIADA,8,LA LIBERTAD,TRUJILLO,TRUJILLO,-8.1435932999999991,-78.475194500000001
005,UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,PUBLICO,LICENCIADA,10,AREQUIPA,AREQUIPA,AREQUIPA,-16.409047399999999,-71.537451000000004
006,UNIVERSIDAD NACIONAL DE INGENIERÍA,PUBLICO,LICENCIADA,10,LIMA,LIMA,RIMAC,-12.046374,-77.042793399999994
007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,PUBLICO,LICENCIADA,8,LIMA,LIMA,LA MOLINA,-12.046374,-77.042793399999994
008,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,PRIVADA ASOCIATIVA,LICENCIADA,10,LIMA,LIMA,SAN MIGUEL,-12.046374,-77.042793399999994
009,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,PUBLICO,EN PROCESO,,ICA,ICA,ICA,-13.9379378,-75.800709299999994
010,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ,PUBLICO,LICENCIADA,6,JUNiN,HUANCAYO,EL TAMBO,-11.335798,-75.341217900000004
011,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA,PUBLICO,LICENCIADA,8,LORETO,MAYNAS,IQUITOS,-4.2324729000000003,-74.217932599999997
012,UNIVERSIDAD NACIONAL DEL ALTIPLANO,PUBLICO,LICENCIADA,6,PUNO,PUNO,PUNO,-15.234875000000001,-70.050314
013,UNIVERSIDAD NACIONAL DE PIURA,PUBLICO,LICENCIADA,6,PIURA,PIURA,CASTILLA,-5.1782883999999996,-80.654888200000002
014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADA ASOCIATIVA,LICENCIADA,10,LIMA,LIMA,SAN MARTIN DE PORRES,-12.046374,-77.042793399999994
015,UNIVERSIDAD CATÓLICA DE SANTA MARÍA,PRIVADA ASOCIATIVA,LICENCIADA,6,AREQUIPA,AREQUIPA,AREQUIPA,-16.409047399999999,-71.537451000000004
